case,openings,hammer_events,trr_events,para_events,bitflips,critical_bitflips,noncritical_bitflips,critical_trr_events,noncritical_trr_events,critical_para_events,noncritical_para_events,budget_blocks,budget_resets,prob_checks,prob_successes,para_checks,para_successes,budget_used_final_window,memory_system_cycles,num_read_reqs_0,read_latency_0,avg_read_latency_0,queue_len_avg_0,read_queue_len_avg_0,priority_queue_len_avg_0,row_conflicts_0,read_row_conflicts_0,row_misses_0,read_row_misses_0,row_hits_0,read_row_hits_0
para_sec_h1_ps3_sigmoid_nr1024,79,79,0,7,0,0,0,0,0,1,6,0,0,0,0,158,7,0/32,188418,72,13335,185.208328,0.0684170276,0.0626320168,0.00578500982,41,41,31,31,0,0
para_sec_h1_ps3_sigmoid_nr128,78,78,0,6,4,0,4,0,0,0,6,0,0,18,4,154,6,0/32,188389,72,12290,170.694443,0.0619834475,0.0569725409,0.00501090847,41,41,31,31,0,0
para_sec_h1_ps3_sigmoid_nr256,79,79,0,7,1,0,1,0,0,1,6,0,0,3,1,158,7,0/32,188423,72,13211,183.486115,0.0678738803,0.0620890222,0.00578485662,41,41,31,31,0,0
para_sec_h1_ps3_sigmoid_nr64,77,77,0,5,10,1,9,0,0,1,4,0,0,38,10,151,5,0/32,188315,72,11215,155.763885,0.0553275086,0.0510474481,0.00428006286,41,41,31,31,0,0
para_sec_h1_ps3_step_nr1024,79,79,0,7,0,0,0,0,0,1,6,0,0,0,0,158,7,0/32,188418,72,13335,185.208328,0.0684170276,0.0626320168,0.00578500982,41,41,31,31,0,0
para_sec_h1_ps3_step_nr128,78,78,0,6,16,1,15,0,0,0,6,0,0,16,16,154,6,0/32,188389,72,12290,170.694443,0.0619834475,0.0569725409,0.00501090847,41,41,31,31,0,0
para_sec_h1_ps3_step_nr256,79,79,0,7,3,0,3,0,0,1,6,0,0,3,3,158,7,0/32,188423,72,13211,183.486115,0.0678738803,0.0620890222,0.00578485662,41,41,31,31,0,0
para_sec_h1_ps3_step_nr64,78,78,0,6,27,2,25,0,0,0,6,0,0,27,27,153,6,0/32,188383,72,12255,170.208328,0.0617200062,0.0567089394,0.00501106773,40,40,32,32,0,0
para_sec_h2_ps1_linear_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps1_linear_nr128,74,15,0,2,6,1,5,0,0,1,1,0,0,27,6,29,2,0/32,188039,72,7155,99.375,0.031668961,0.0297544654,0.00191449642,43,43,29,29,0,0
para_sec_h2_ps1_linear_nr256,73,6,0,1,3,0,3,0,0,1,0,0,0,11,3,12,1,0/32,187980,72,6133,85.1805573,0.025454836,0.0243164171,0.00113841903,43,43,29,29,0,0
para_sec_h2_ps1_linear_nr64,74,19,0,2,9,0,9,0,0,0,2,0,0,35,9,37,2,0/32,188045,72,7524,104.5,0.0331569575,0.0312425215,0.00191443542,42,42,30,30,0,0
para_sec_h2_ps1_sigmoid_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps1_sigmoid_nr128,74,15,0,2,1,0,1,0,0,1,1,0,0,27,1,29,2,0/32,188039,72,7155,99.375,0.031668961,0.0297544654,0.00191449642,43,43,29,29,0,0
para_sec_h2_ps1_sigmoid_nr256,73,6,0,1,2,0,2,0,0,1,0,0,0,11,2,12,1,0/32,187980,72,6133,85.1805573,0.025454836,0.0243164171,0.00113841903,43,43,29,29,0,0
para_sec_h2_ps1_sigmoid_nr64,74,19,0,2,1,0,1,0,0,0,2,0,0,35,1,37,2,0/32,188045,72,7524,104.5,0.0331569575,0.0312425215,0.00191443542,42,42,30,30,0,0
para_sec_h2_ps1_step_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps1_step_nr128,74,15,0,2,27,1,26,0,0,1,1,0,0,27,27,29,2,0/32,188039,72,7155,99.375,0.031668961,0.0297544654,0.00191449642,43,43,29,29,0,0
para_sec_h2_ps1_step_nr256,73,6,0,1,11,0,11,0,0,1,0,0,0,11,11,12,1,0/32,187980,72,6133,85.1805573,0.025454836,0.0243164171,0.00113841903,43,43,29,29,0,0
para_sec_h2_ps1_step_nr64,74,19,0,2,35,2,33,0,0,0,2,0,0,35,35,37,2,0/32,188045,72,7524,104.5,0.0331569575,0.0312425215,0.00191443542,42,42,30,30,0,0
para_sec_h2_ps2_linear_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps2_linear_nr128,75,15,0,3,0,0,0,0,0,0,3,0,0,2,0,29,3,0/32,188127,72,7263,100.875,0.0330255628,0.0303358901,0.0026896724,42,42,30,30,0,0
para_sec_h2_ps2_linear_nr256,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps2_linear_nr64,75,21,0,3,1,0,1,0,0,0,3,0,0,6,1,41,3,0/32,188135,72,8779,121.930557,0.0408058055,0.0381162465,0.00268955808,41,41,31,31,0,0
para_sec_h2_ps2_sigmoid_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps2_sigmoid_nr128,75,15,0,3,0,0,0,0,0,0,3,0,0,2,0,29,3,0/32,188127,72,7263,100.875,0.0330255628,0.0303358901,0.0026896724,42,42,30,30,0,0
para_sec_h2_ps2_sigmoid_nr256,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps2_sigmoid_nr64,75,21,0,3,0,0,0,0,0,0,3,0,0,6,0,41,3,0/32,188135,72,8779,121.930557,0.0408058055,0.0381162465,0.00268955808,41,41,31,31,0,0
para_sec_h2_ps2_step_nr1024,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/32,187910,72,4901,68.0694427,0.0186099727,0.018248098,0.000361875369,44,44,28,28,0,0
para_sec_h2_ps2_step_nr128,75,15,0,3,2,1,1,0,0,0,3,0,0,2,2,29,3,0/32,188127,72,7263,100.875,0.0330255628,0.0303358901,0.0026896724,42,42,30,30,0,0
